ii                            mean         std         2.5q         25q         50q         75q      97.5q       mc_err
v_subj(1.0).15            0.478357    0.166295     0.222336    0.357861    0.456003    0.583594   0.874434   0.00733133
v_subj(1.1).15            0.961166      0.1131      0.77822    0.886172     0.94881     1.02414    1.23029   0.00460557
v_subj(1.2).15              1.3476    0.100366      1.15725     1.27953     1.34838     1.41151    1.55601   0.00309835
v_subj(1.0).16             1.00931    0.101854     0.826482    0.938353     1.00459     1.07628    1.21777   0.00373788
v_subj(1.1).16             1.32159    0.147946      1.07049     1.21498     1.30937     1.41818     1.6354   0.00647692
v_subj(1.2).16             1.23988   0.0968896       1.0507     1.17489     1.23742      1.3035    1.43452   0.00279117
v_subj(1.0).17             2.72561     0.19905       2.3536     2.59529     2.71729     2.85531    3.12796   0.00698942
v_subj(1.1).17             2.48031     0.24689      2.05539     2.30865     2.45897     2.62547    3.02508    0.0110731
v_subj(1.2).17             2.78426    0.189358      2.43281     2.65152     2.77708     2.90625    3.17288   0.00638175
v_subj(1.0).18             2.25966    0.317179      1.68332     2.03002     2.24386     2.47461    2.90002    0.0190862
v_subj(1.1).18             1.80085    0.138991      1.54705     1.70332     1.79939     1.89184    2.09352   0.00521079
v_subj(1.2).18              1.5785    0.117906      1.35186     1.49733     1.57437     1.65965    1.81812   0.00388195
v_subj(1.0).19             2.95718    0.176431      2.60709     2.84258     2.95566     3.07024    3.32442   0.00517265
v_subj(1.1).19              2.9929    0.214542      2.55584     2.85648     2.99686     3.12819    3.44451    0.0086154
v_subj(1.2).19             3.57377    0.278834      3.08747     3.37295     3.56325     3.74897     4.1825    0.0108055
v_subj(1.0).20             0.31415    0.309828   -0.0765647     0.12532    0.232496    0.428756    1.09248     0.012544
v_subj(1.1).20           -0.203287    0.566655     -1.33606   -0.544475  -0.0918005   0.0912319    0.93673    0.0283269
v_subj(1.2).20           -0.180767    0.302721    -0.877368   -0.272955   -0.169355  -0.0794919   0.491235    0.0103283
v_subj(1.0).21             2.96797    0.216436      2.55907     2.81606     2.96394     3.11721    3.39614   0.00794521
v_subj(1.1).21             3.11206    0.200738      2.70547     2.97955     3.11317     3.24113    3.52291   0.00701796
v_subj(1.2).21             3.36682    0.229728      2.92179     3.20809     3.36984     3.52183    3.82996   0.00827832
v_subj(1.0).22             5.81217    0.551149      4.76918     5.44481     5.79557     6.17336    6.92584    0.0343026
v_subj(1.1).22             3.40418    0.244916       2.9325     3.23739     3.39775     3.57007    3.88202   0.00893577
v_subj(1.2).22             3.84272    0.279406      3.35241     3.65074     3.82276     4.01827    4.45547    0.0107158
v_subj(1.0).23              7.5606    0.468057      6.67034     7.24517     7.54849     7.85599    8.50059    0.0306168
v_subj(1.1).23            -8.38343    0.477956     -9.38434    -8.68305    -8.35873    -8.06816   -7.49863    0.0277289
v_subj(1.2).23              1.2725   0.0971992      1.08916      1.2079     1.26947     1.33856    1.46767   0.00285066
v_subj(1.0).24             1.36775    0.106885      1.16197      1.2952     1.36749     1.43716     1.5901   0.00350873
v_subj(1.1).24             2.28759    0.152927      2.00293     2.18188     2.27775      2.3875    2.61504   0.00614522
v_subj(1.2).24             2.99735    0.215812      2.58114     2.84701     2.99696     3.14379      3.406    0.0102976
v_subj(1.0).25            0.149125    0.160739   -0.0164102   0.0752415    0.114642    0.169807   0.578576   0.00591359
v_subj(1.1).25            0.672897    0.335223     0.332213    0.448029    0.537373    0.803593     1.5784    0.0267879
v_subj(1.2).25            0.971817    0.125531     0.771468    0.886948    0.954983     1.03323    1.27251   0.00623094
v_subj(1.0).26              2.2702    0.559961      1.27197     1.88116     2.23394     2.62416     3.4419    0.0343494
v_subj(1.1).26             1.94008    0.183242      1.60639     1.81036     1.92914      2.0604    2.31583   0.00637005
v_subj(1.2).26             3.51476    0.224479      3.08671     3.36469     3.51227     3.65795     3.9738   0.00882142
v_subj(1.0).27             3.12253    0.607982      1.89416      2.7251     3.12171     3.53051    4.30598    0.0254385
